"Province.State","Country.Region","Last.Update","Confirmed","Suspected","Recovered","Deaths","lon","lat","geoAddress"
"Hubei","Mainland China","1/24/2020 12:00 PM",549,NA,31,24,112.2384017,30.7378118,"hubei, china"
"Guangdong","Mainland China","1/24/2020 12:00 PM",53,NA,2,NA,113.7632828,23.3790333,"guangdong, china"
"Zhejiang","Mainland China","1/24/2020 12:00 PM",43,NA,1,NA,119.7889248,29.1416432,"zhejiang, china"
"Beijing","Mainland China","1/24/2020 12:00 PM",36,NA,1,NA,116.4073963,39.9041999,"beijing, china"
"Chongqing","Mainland China","1/24/2020 12:00 PM",27,13,NA,NA,106.912251,29.4315861,"chongqing, china"
"Hunan","Mainland China","1/24/2020 12:00 PM",24,NA,NA,NA,111.8568586,27.6252995,"hunan, china"
"Guangxi","Mainland China","1/24/2020 12:00 PM",23,NA,NA,NA,108.8076195,23.7247599,"guangxi, china"
"Shanghai","Mainland China","1/24/2020 12:00 PM",20,22,1,NA,121.473701,31.230416,"shanghai, china"
"Jiangxi","Mainland China","1/24/2020 12:00 PM",18,NA,NA,NA,114.9042208,27.0874564,"jiangxi, china"
"Sichuan","Mainland China","1/24/2020 12:00 PM",15,4,NA,NA,102.8054753,30.2638032,"sichuan, china"
"Shandong","Mainland China","1/24/2020 12:00 PM",15,NA,NA,NA,117.9249002,35.8939566,"shandong, china"
"Anhui","Mainland China","1/24/2020 12:00 PM",15,4,NA,NA,117.9249002,30.6006773,"anhui, china"
"Fujian","Mainland China","1/24/2020 12:00 PM",10,2,NA,NA,117.9249002,26.4836842,"fujian, china"
"Henan","Mainland China","1/24/2020 12:00 PM",9,42,NA,NA,113.3823545,34.2904302,"henan, china"
"Jiangsu","Mainland China","1/24/2020 12:00 PM",9,NA,NA,NA,119.7889248,33.1401715,"jiangsu, china"
"Hainan","Mainland China","1/24/2020 12:00 PM",8,32,NA,NA,109.949686,19.5663947,"hainan, china"
"Tianjin","Mainland China","1/24/2020 12:00 PM",8,NA,NA,NA,117.3616476,39.3433574,"tianjin, china"
"Yunnan","Mainland China","1/24/2020 12:00 PM",5,NA,NA,NA,101.3431058,24.4752847,"yunnan, china"
"Shaanxi","Mainland China","1/24/2020 12:00 PM",5,NA,NA,NA,109.1880047,35.3939908,"shaanxi, china"
"Heilongjiang","Mainland China","1/24/2020 12:00 PM",4,NA,NA,1,128.738231,47.1216472,"heilongjiang, china"
"Liaoning","Mainland China","1/24/2020 12:00 PM",4,NA,NA,NA,122.5290376,41.9436543,"liaoning, china"
"Guizhou","Mainland China","1/24/2020 12:00 PM",3,NA,NA,NA,107.2902839,26.8429645,"guizhou, china"
"Jilin","Mainland China","1/24/2020 12:00 PM",3,NA,NA,NA,126.4371385,43.1520105,"jilin, china"
"Taiwan","Taiwan","1/24/2020 12:00 PM",3,NA,NA,NA,120.960515,23.69781,"taiwan"
"Ningxia","Mainland China","1/24/2020 12:00 PM",2,1,NA,NA,106.1580937,37.198731,"ningxia, china"
"Hong Kong","Hong Kong","1/24/2020 12:00 PM",2,36,NA,NA,114.1693611,22.3193039,"hong kong"
"Macau","Macau","1/24/2020 12:00 PM",2,NA,NA,NA,113.543873,22.198745,"macao"
"Hebei","Mainland China","1/24/2020 12:00 PM",2,NA,NA,1,114.9042208,37.8956594,"hebei, china"
"Gansu","Mainland China","1/24/2020 12:00 PM",2,NA,NA,NA,104.2861116,35.7518326,"gansu, china"
"Xinjiang","Mainland China","1/24/2020 12:00 PM",2,NA,NA,NA,87.5395855,42.5246357,"xinjiang, china"
"Shanxi","Mainland China","1/24/2020 12:00 PM",1,NA,NA,NA,111.8568586,37.2425649,"shanxi, china"
"Inner Mongolia","Mainland China","1/24/2020 12:00 PM",1,2,NA,NA,115.0594815,43.37822,"inner mongolia, china"
"Qinghai","Mainland China","1/24/2020 12:00 PM",NA,1,NA,NA,96.4077358,35.744798,"qinghai, china"
"Washington","US","1/24/2020 12:00 PM",1,NA,NA,NA,-120.7401385,47.7510741,"washington, usa"
"Chicago","US","1/24/2020 12:00 PM",1,NA,NA,NA,-87.6297982,41.8781136,"chicago, il, usa"
"","Japan","1/24/2020 12:00 PM",2,NA,NA,NA,NA,NA,NA
"","Thailand","1/24/2020 12:00 PM",5,NA,NA,NA,NA,NA,NA
"","South Korea","1/24/2020 12:00 PM",2,NA,NA,NA,NA,NA,NA
"","Singapore","1/24/2020 12:00 PM",3,NA,NA,NA,NA,NA,NA
"","Vietnam","1/24/2020 12:00 PM",2,NA,NA,NA,NA,NA,NA
"","France","1/24/2020 4:00 PM",2,NA,NA,NA,NA,NA,NA
