"Province.State","Country.Region","Last.Update","Confirmed","Deaths","Recovered","lon","lat","geoAddress"
"Hubei","Mainland China","2/5/20 16:43",16678,479,538,112.2384017,30.7378118,"hubei, china"
"Guangdong","Mainland China","2/5/20 13:23",895,0,49,113.7632828,23.3790333,"guangdong province, china"
"Zhejiang","Mainland China","2/5/20 15:13",895,0,78,119.7889248,29.1416432,"zhejiang, china"
"Henan","Mainland China","2/5/20 15:03",764,2,47,113.3823545,34.2904302,"henan, china"
"Hunan","Mainland China","2/5/20 15:23",661,0,54,111.8568586,27.6252995,"hunan, china"
"Jiangxi","Mainland China","2/5/20 1:33",548,0,27,114.9042208,27.0874564,"jiangxi, china"
"Anhui","Mainland China","2/5/20 13:43",530,0,23,117.9249002,30.6006773,"anhui, china"
"Chongqing","Mainland China","2/5/20 9:13",376,2,15,106.912251,29.4315861,"chongqing, china"
"Jiangsu","Mainland China","2/5/20 12:43",341,0,23,119.7889248,33.1401715,"jiangsu, china"
"Shandong","Mainland China","2/5/20 10:13",307,0,15,117.9249002,35.8939566,"shandong, china"
"Sichuan","Mainland China","2/5/20 10:13",301,1,24,102.8054753,30.2638032,"sichuan, china"
"Beijing","Mainland China","2/5/20 5:43",253,1,24,116.4073963,39.9041999,"beijing, china"
"Shanghai","Mainland China","2/5/20 6:23",243,1,15,121.473701,31.230416,"shanghai, china"
"Fujian","Mainland China","2/5/20 12:33",205,0,11,117.9249002,26.4836842,"fujian, china"
"Heilongjiang","Mainland China","2/5/20 12:13",190,2,7,128.738231,47.1216472,"heilongjiang, china"
"Shaanxi","Mainland China","2/5/20 8:43",165,0,6,109.1880047,35.3939908,"shaanxi, china"
"Guangxi","Mainland China","2/5/20 12:03",150,0,13,108.8076195,23.7247599,"guangxi, china"
"Hebei","Mainland China","2/5/20 11:23",135,1,6,114.9042208,37.8956594,"hebei, china"
"Yunnan","Mainland China","2/5/20 7:43",124,0,5,101.3431058,24.4752847,"yunnan, china"
"Hainan","Mainland China","2/5/20 16:43",99,1,5,109.949686,19.5663947,"hainan, china"
"Liaoning","Mainland China","2/5/20 15:23",89,0,4,122.5290376,41.9436543,"liaoning, china"
"Shanxi","Mainland China","2/5/20 15:23",81,0,5,111.8568586,37.2425649,"shanxi, china"
"Tianjin","Mainland China","2/5/20 3:43",69,1,2,117.3616476,39.3433574,"tianjin, china"
"Guizhou","Mainland China","2/5/20 12:33",64,1,9,107.2902839,26.8429645,"guizhou, china"
"Gansu","Mainland China","2/5/20 16:23",62,0,6,104.2861116,35.7518326,"gansu, china"
"Jilin","Mainland China","2/5/20 11:03",54,0,2,126.549572,43.837883,"jilin city, jilin, china"
"Inner Mongolia","Mainland China","2/5/20 8:53",42,0,3,115.0594815,43.37822,"inner mongolia, china"
"Ningxia","Mainland China","2/4/20 2:13",34,0,1,106.1580937,37.198731,"ningxia, china"
"Xinjiang","Mainland China","2/5/20 2:03",32,0,0,87.5395855,42.5246357,"xinjiang, china"
"","Singapore","2/5/20 16:33",28,0,0,NA,NA,NA
"","Thailand","2/4/20 15:33",25,0,5,NA,NA,NA
"","Japan","2/4/20 16:43",22,0,1,NA,NA,NA
"Hong Kong","Hong Kong","2/5/20 13:13",21,1,0,114.1693611,22.3193039,"hong kong"
"","South Korea","2/5/20 15:33",19,0,0,NA,NA,NA
"Qinghai","Mainland China","2/5/20 3:13",17,0,3,96.4077358,35.744798,"qinghai, china"
"","Germany","2/3/20 20:53",12,0,0,NA,NA,NA
"","Malaysia","2/5/20 15:43",12,0,0,NA,NA,NA
"Taiwan","Taiwan","2/4/20 14:53",11,0,0,120.960515,23.69781,"taiwan"
"Macau","Macau","2/4/20 4:43",10,0,0,113.543873,22.198745,"macao"
"","Vietnam","2/3/20 21:43",8,0,1,NA,NA,NA
"","France","2/1/20 1:52",6,0,0,NA,NA,NA
"","United Arab Emirates","2/2/20 5:43",5,0,0,NA,NA,NA
"New South Wales","Australia","2/1/20 18:12",4,0,2,146.921099,-31.2532183,"new south wales, australia"
"Victoria","Australia","2/1/20 18:12",4,0,0,-97.0035982,28.8052674,"victoria, tx, usa"
"Queensland","Australia","2/4/20 16:53",3,0,0,142.7027956,-20.9175738,"queensland, australia"
"","India","2/3/20 21:43",3,0,0,NA,NA,NA
"South Australia","Australia","2/2/20 22:33",2,0,0,136.2091547,-30.0002315,"south australia, australia"
"Toronto, ON","Canada","2/4/20 0:13",2,0,0,-79.3831843,43.653226,"toronto, on, canada"
"","Italy","1/31/20 8:15",2,0,0,NA,NA,NA
"","Philippines","2/2/20 3:33",2,1,0,NA,NA,NA
"","Russia","1/31/20 16:13",2,0,0,NA,NA,NA
"","UK","2/1/20 1:52",2,0,0,NA,NA,NA
"Chicago, IL","US","2/1/20 19:43",2,0,0,-87.6297982,41.8781136,"chicago, il, usa"
"San Benito, CA","US","2/3/20 3:53",2,0,0,-120.9876321,36.5760883,"san benito county, ca, usa"
"Santa Clara, CA","US","2/3/20 0:43",2,0,0,-121.9552356,37.3541079,"santa clara, ca, usa"
"","Belgium","2/4/20 15:43",1,0,0,NA,NA,NA
"","Cambodia","1/31/20 8:15",1,0,0,NA,NA,NA
"British Columbia","Canada","2/1/20 18:12",1,0,0,-127.6476205,53.7266683,"british columbia, canada"
"London, ON","Canada","2/4/20 0:03",1,0,0,-81.2452768,42.9849233,"london, on, canada"
"","Finland","1/31/20 8:15",1,0,0,NA,NA,NA
"Tibet","Mainland China","2/1/20 1:52",1,0,0,88.7878678,30.1533605,"tibet, china"
"","Nepal","1/31/20 8:15",1,0,0,NA,NA,NA
"","Spain","2/1/20 23:43",1,0,0,NA,NA,NA
"","Sri Lanka","1/31/20 8:15",1,0,0,NA,NA,NA
"","Sweden","2/1/20 2:13",1,0,0,NA,NA,NA
"Boston, MA","US","2/1/20 19:43",1,0,0,-71.0588801,42.3600825,"boston, ma, usa"
"Los Angeles, CA","US","2/1/20 19:53",1,0,0,-118.2436849,34.0522342,"los angeles, ca, usa"
"Orange, CA","US","2/1/20 19:53",1,0,0,-117.8531007,33.7879139,"orange, ca, usa"
"Seattle, WA","US","2/1/20 19:43",1,0,0,-122.3320708,47.6062095,"seattle, wa, usa"
"Tempe, AZ","US","2/1/20 19:43",1,0,0,-111.9400054,33.4255104,"tempe, az, usa"
