"X","province_state","country_region","last_update","confirmed","deaths","recovered","lon","lat","geoAddress"
1,"Hubei","Mainland China","2020-02-21 13:03:09",62662,2144,11881,112.2384017,30.7378118,"hubei, china"
2,"Guangdong","Mainland China","2020-02-21 10:13:09",1333,5,690,113.7632828,23.3790333,"guangdong province, china"
3,"Henan","Mainland China","2020-02-21 13:43:02",1267,19,736,113.3823545,34.2904302,"henan, china"
4,"Zhejiang","Mainland China","2020-02-21 10:23:02",1203,1,679,119.7889248,29.1416432,"zhejiang, china"
5,"Hunan","Mainland China","2020-02-21 15:13:07",1011,4,661,111.8568586,27.6252995,"hunan, china"
6,"Anhui","Mainland China","2020-02-21 10:13:09",988,6,539,117.9249002,30.6006773,"anhui, china"
7,"Jiangxi","Mainland China","2020-02-21 01:13:05",934,1,489,114.9042208,27.0874564,"jiangxi, china"
8,"Shandong","Mainland China","2020-02-21 10:23:02",749,4,281,117.9249002,35.8939566,"shandong, china"
9,"Jiangsu","Mainland China","2020-02-21 11:43:01",631,0,373,119.7889248,33.1401715,"jiangsu, china"
10,"Chongqing","Mainland China","2020-02-21 23:13:14",572,6,316,106.912251,29.4315861,"chongqing, china"
11,"Sichuan","Mainland China","2020-02-21 12:53:01",525,3,231,102.8054753,30.2638032,"sichuan, china"
12,"Heilongjiang","Mainland China","2020-02-21 11:43:01",479,12,175,128.738231,47.1216472,"heilongjiang, china"
13,"Beijing","Mainland China","2020-02-21 01:03:09",396,4,169,116.4073963,39.9041999,"beijing, china"
14,"Shanghai","Mainland China","2020-02-21 05:53:01",334,2,211,121.473701,31.230416,"shanghai, china"
15,"Hebei","Mainland China","2020-02-21 12:53:01",308,5,184,114.9042208,37.8956594,"hebei, china"
16,"Fujian","Mainland China","2020-02-21 11:43:01",293,1,149,117.9249002,26.4836842,"fujian, china"
17,"Guangxi","Mainland China","2020-02-21 11:43:01",246,2,97,108.8076195,23.7247599,"guangxi, china"
18,"Shaanxi","Mainland China","2020-02-21 11:43:01",245,1,134,109.1880047,35.3939908,"shaanxi, china"
19,"South Korea","South Korea","2020-02-21 13:43:02",204,2,16,127.766922,35.907757,"south korea"
20,"Yunnan","Mainland China","2020-02-21 06:23:04",174,2,96,101.3431058,24.4752847,"yunnan, china"
21,"Hainan","Mainland China","2020-02-21 10:13:09",168,4,95,109.949686,19.5663947,"hainan, china"
22,"Guizhou","Mainland China","2020-02-21 12:53:01",146,2,77,107.2902839,26.8429645,"guizhou, china"
23,"Shanxi","Mainland China","2020-02-21 23:33:06",132,0,78,111.8568586,37.2425649,"shanxi, china"
24,"Tianjin","Mainland China","2020-02-21 12:53:01",132,3,62,117.3616476,39.3433574,"tianjin, china"
25,"Liaoning","Mainland China","2020-02-21 01:33:02",121,1,61,122.5290376,41.9436543,"liaoning, china"
26,"Japan","Japan","2020-02-21 19:03:06",105,1,22,138.252924,36.204824,"japan"
27,"Gansu","Mainland China","2020-02-21 15:13:07",91,2,76,104.2861116,35.7518326,"gansu, china"
28,"Jilin","Mainland China","2020-02-21 10:13:09",91,1,45,126.549572,43.837883,"jilin city, jilin, china"
29,"Singapore","Singapore","2020-02-21 03:43:02",85,0,37,103.819836,1.352083,"singapore"
30,"Xinjiang","Mainland China","2020-02-21 13:43:02",76,1,24,87.5395855,42.5246357,"xinjiang, china"
31,"Inner Mongolia","Mainland China","2020-02-21 08:03:15",75,0,17,115.0594815,43.37822,"inner mongolia, china"
