"Province.State","Country","Last.Update","Confirmed","Suspected","lon","lat","geoAddress"
"Anhui","China","1/22/2020 12:00",1,4,117.9249002,30.6006773,"anhui, china"
"Beijing","China","1/22/2020 12:00",14,NA,116.4073963,39.9041999,"beijing, china"
"Chongqing","China","1/22/2020 12:00",6,NA,106.912251,29.4315861,"chongqing, china"
"Fujian","China","1/22/2020 12:00",1,NA,117.9249002,26.4836842,"fujian, china"
"Gansu","China","1/22/2020 12:00",NA,NA,104.2861116,35.7518326,"gansu, china"
"Guangdong","China","1/22/2020 12:00",26,1,113.7632828,23.3790333,"guangdong, china"
"Guangxi","China","1/22/2020 12:00",2,1,108.8076195,23.7247599,"guangxi, china"
"Guizhou","China","1/22/2020 12:00",1,NA,107.2902839,26.8429645,"guizhou, china"
"Hainan","China","1/22/2020 12:00",4,NA,109.949686,19.5663947,"hainan, china"
"Hebei","China","1/22/2020 12:00",1,NA,114.9042208,37.8956594,"hebei, china"
"Heilongjiang","China","1/22/2020 12:00",NA,1,128.738231,47.1216472,"heilongjiang, china"
"Henan","China","1/22/2020 12:00",5,NA,113.3823545,34.2904302,"henan, china"
"Hong Kong","China","1/22/2020 12:00",NA,117,114.1693611,22.3193039,"hong kong"
"Hubei","China","1/22/2020 12:00",444,NA,112.2384017,30.7378118,"hubei, china"
"Hunan","China","1/22/2020 12:00",4,NA,111.8568586,27.6252995,"hunan, china"
"Inner Mongolia","China","1/22/2020 12:00",NA,NA,115.0594815,43.37822,"inner mongolia, china"
"Jiangsu","China","1/22/2020 12:00",1,NA,119.7889248,33.1401715,"jiangsu, china"
"Jiangxi","China","1/22/2020 12:00",2,NA,114.9042208,27.0874564,"jiangxi, china"
"Jilin","China","1/22/2020 12:00",NA,1,126.4371385,43.1520105,"jilin, china"
"Liaoning","China","1/22/2020 12:00",2,NA,122.5290376,41.9436543,"liaoning, china"
"Macau","China","1/22/2020 12:00",1,NA,113.543873,22.198745,"macao"
"Ningxia","China","1/22/2020 12:00",1,NA,106.1580937,37.198731,"ningxia, china"
"Qinghai","China","1/22/2020 12:00",NA,NA,96.4077358,35.744798,"qinghai, china"
"Shaanxi","China","1/22/2020 12:00",NA,NA,109.1880047,35.3939908,"shaanxi, china"
"Shandong","China","1/22/2020 12:00",2,NA,117.9249002,35.8939566,"shandong, china"
"Shanghai","China","1/22/2020 12:00",9,10,121.473701,31.230416,"shanghai, china"
"Shanxi","China","1/22/2020 12:00",1,NA,111.8568586,37.2425649,"shanxi, china"
"Sichuan","China","1/22/2020 12:00",5,2,102.8054753,30.2638032,"sichuan, china"
"Taiwan","China","1/22/2020 12:00",1,NA,120.960515,23.69781,"taiwan"
"Tianjin","China","1/22/2020 12:00",4,NA,117.3616476,39.3433574,"tianjin, china"
"Tibet","China","1/22/2020 12:00",NA,NA,88.7878678,30.1533605,"tibet, china"
"Washington","US","1/22/2020 12:00",1,NA,-120.7401385,47.7510741,"washington, usa"
"Xinjiang","China","1/22/2020 12:00",NA,NA,87.5395855,42.5246357,"xinjiang, china"
"Yunnan","China","1/22/2020 12:00",1,NA,101.3431058,24.4752847,"yunnan, china"
"Zhejiang","China","1/22/2020 12:00",10,NA,119.7889248,29.1416432,"zhejiang, china"
"","Japan","1/22/2020 12:00",2,NA,NA,NA,NA
"","Thailand","1/22/2020 12:00",2,NA,NA,NA,NA
"","South Korea","1/22/2020 12:00",1,NA,NA,NA,NA
